session,step,selection_source,executors,batch_size,throughput_cases_per_s,measurement_file
agent-gcp-1790140931374443334,0,scripted_baseline,1,1,2.021636,results/agent-gcp-1790140931374443334/baseline/measurement.json
agent-gcp-1790140931374443334,1,gemini,1,2,2.012081,results/agent-gcp-1790140931374443334/step-1/measurement.json
agent-gcp-1790140931374443334,2,gemini,1,3,2.021549,results/agent-gcp-1790140931374443334/step-2/measurement.json
agent-gcp-1790140931374443334,3,gemini,2,1,2.005932,results/agent-gcp-1790140931374443334/step-3/measurement.json
agent-gcp-1790140931374443334,4,gemini,2,2,2.990864,results/agent-gcp-1790140931374443334/step-4/measurement.json
agent-gcp-1790141191264079437,0,scripted_baseline,1,1,2.040685,results/agent-gcp-1790141191264079437/baseline/measurement.json
agent-gcp-1790141191264079437,1,gemini,1,2,2.029848,results/agent-gcp-1790141191264079437/step-1/measurement.json
agent-gcp-1790141191264079437,2,gemini,1,3,2.030747,results/agent-gcp-1790141191264079437/step-2/measurement.json
agent-gcp-1790141191264079437,3,gemini,2,1,2.013808,results/agent-gcp-1790141191264079437/step-3/measurement.json
agent-gcp-1790141191264079437,4,gemini,2,2,2.982902,results/agent-gcp-1790141191264079437/step-4/measurement.json
agent-gcp-1790141215995608561,0,scripted_baseline,1,1,2.016003,results/agent-gcp-1790141215995608561/baseline/measurement.json
agent-gcp-1790141215995608561,1,gemini,2,1,2.03149,results/agent-gcp-1790141215995608561/step-1/measurement.json
agent-gcp-1790141215995608561,2,gemini,1,2,2.00517,results/agent-gcp-1790141215995608561/step-2/measurement.json
agent-gcp-1790141215995608561,3,gemini,2,2,3.010693,results/agent-gcp-1790141215995608561/step-3/measurement.json
agent-gcp-1790141215995608561,4,gemini,3,3,5.798345,results/agent-gcp-1790141215995608561/step-4/measurement.json
agent-gcp-1790141238772626079,0,scripted_baseline,1,1,2.023182,results/agent-gcp-1790141238772626079/baseline/measurement.json
agent-gcp-1790141238772626079,1,gemini,2,1,2.030462,results/agent-gcp-1790141238772626079/step-1/measurement.json
agent-gcp-1790141238772626079,2,gemini,1,2,2.023746,results/agent-gcp-1790141238772626079/step-2/measurement.json
agent-gcp-1790141238772626079,3,gemini,2,2,3.028421,results/agent-gcp-1790141238772626079/step-3/measurement.json
agent-gcp-1790141238772626079,4,gemini,3,3,5.796827,results/agent-gcp-1790141238772626079/step-4/measurement.json
